﻿Photos,Files,,Job Code,Project,Ele. #,Ele. Name,,Task,Dept.,,Check In,Completed,,Notes
,,,19-248,Kyle Mock,-4,Log,,Locate existing molds,Sculpt,,,,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Ship Buffet Fins,Shipping,,,,,Truck #2
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Talk to Mary about 40% payment,PM,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Update shop drawing to include new assembly at top and bottom,Design,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #3 - Package,Shipping,,,,,
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Ship Ceiling Beam Diffusers,Shipping,,,,,Truck # 2
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Respond to Christy's email,PM,,,Checked,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Ship Column Lightbox Panels,Shipping,,,,,Truck # 1
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #1 - Package,Shipping,,,,,
,,,19-248,Kyle Mock,-3,Cable Pedestals,,Get camera or camera specs,PM,,,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #3 - Install Basket Weave,Fab,,,,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Hand off redesign to Brian T,PM,,11/1/2019,Checked,,Meeting scheduled for 11/1 @ 10a
,,,19-248,Kyle Mock,-5,Bark Wrap,,Mold bark texture,Sculpt,,,,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Package Bar Light Boxes,Shipping,,,,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Paint PVC,Paint,,,,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Assemble Lightboxes,Fab,,,,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Package Facade,Shipping,,,,,
,,,18-104,Ft. McDowell,-16,Decorative Metal Panel,,Ship Decorative Metal Panel,Shipping,,,,,Truck # 1
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Pickup redlines and issue production drawings,PM,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Assemble Back Bar Diffusers,Fab,,,,,
,,,19-248,Kyle Mock,-6,Stump (Oak),,Get mounting bracket specs,PM,,12/2/2019,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #2 - Ship,Shipping,,,,,
,,,00-000,Overhead,,,,2 Week,PM,,10/31/2019,Checked,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Respond to Ryan Parker's email,PM,,10/29/2019,Checked,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Get frames from RMH,PM,,12/6/2019,,,
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Paint metal,Paint,,,,,
,,,18-222,Desert Diamond,-3,Light Wall Panels,,Respond to Jan's email,,,,Checked,,Check in with Stephen on how to price and Adam on how to best cut
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Smoke panels armature,Metal,,12/2/2019,Checked,,
,,,19-248,Kyle Mock,-5,Bark Wrap,,Get species and color specs,PM,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Talk to Kyle re: his voicemail,PM,,10/31/2019,Checked,,
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Cut PVC frames,CNC,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #1 - Paint Basket Weave,Paint,,,,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Paint frames,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Let Berry know there won't be much  to review for the smoke panels and rocket ship,PM,,10/31/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Paint Wall,Paint,,,,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Laminate PVC to Envel,Fab,,,,,
,,,19-220,Alder Bar Top,-3,Alder Bar Top,,Make sure product gets ordered from Midway and here today,PM,,10/29/2019,Checked,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Submit RFI to not pick up notes,PM,,,Checked,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Assemble polycarbonate + sheet metal to frame,Fab,,,,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Build Angle Frames,Metal,,12/9/2019,,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Package Light Box Wall,Shipping,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Talk to Kiera about Paint schedule,PM,,,Checked,,
,,,18-104,Ft. McDowell,-2,,,Overall status for each element,PM,,,Checked,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Package Decorative Center Column,Shipping,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Issue Adam a set of drawings,PM,,10/30/2019,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Attach rocket ship to armature and fiberglass halves together,Sculpt,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Have production drawings been issued?,PM,,12/3/2019,Checked,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Issue change order to Matt on the Envel - it's not a cost we're going to be able to pick up,PM,,12/6/2019,,,
,,,19-248,Kyle Mock,-7,Stump (Pine),,Shop drawings,Design,,,,,
,,,19-248,Kyle Mock,-3,Cable Pedestals,,Locate existing molds,Sculpt,,,,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Ship Long And Short Lightbox Column,Shipping,,,,,Truck # 2
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Order Lumicor,PM,,,,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Paint metal,Paint,,,,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Ship Bar Light Boxes,Shipping,,,,,Truck # 2
,,,18-222,Desert Diamond,-3,Wall Panels,,Get recipe from Kiera and send to Jan,PM,,,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Put together drawing for RMH to price from,PM,,10/30/2019,Checked,,
,,,19-248,Kyle Mock,-3,Cable Pedestals,,Get mounting bracket specs,PM,,12/2/2019,Checked,,Email sent to Kyle Gary and Patrick on 10/15/19
,,,18-104,Ft. McDowell,-2,,,Respond to John's email about visiting,PM,,,Checked,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Assemble polycarbonate,Fab,,,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Ship Decorative Center Column,Shipping,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Find an installer for the 10th,PM,,10/30/2019,Checked,,Daniel is out of town we need someone else available
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Get polycarbonate from Souers,PM,,,,,
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Cut files for PVC,PM,,12/6/2019,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Get mockup approved,PM,,,,,
,,,00-000,Overhead,0,,,Production meeting,PM,,,Checked,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Talk to Tanner about the schedule for Torchier metal,PM,,,Checked,,
,,,18-104,Ft. McDowell,-25,Rivet Straps,,Ship Rivet Straps,Shipping,,,,,Truck # 2
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Get brake-formed pans from Pacer,Vendor,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Material takeoffs,PM,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Laminate sheet metal to backing polycarbonate,Fab,,,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Send Eric product data for ID-3000-SWF-2,PM,,,Checked,,
,,,19-248,Kyle Mock,-2,,,Build powerpoint for kickoff meeting,PM,,,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Paint rocket ship,Paint,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Cut Wall parts,CNC,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Slot rocket ship over center support and verify fit / sturdiness when fastened,PM,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Cut PVC,CNC,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Send cut files to Berry,PM,,,Checked,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #3 - Paint Basket Weave,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Verify tube is in for center support,PM,,10/29/2019,Checked,,
,,,18-104,Ft. McDowell,-22,Back Bar Light Box,,Make sure Atomic was awarded,PM,,,Checked,,Awarded and materials are scheduled to be delivered on 10/14/19
,,,19-248,Kyle Mock,-2,,,Schedule kickoff meeting,PM,,,Checked,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Visit RMH (10:00a),PM,,,Checked,,
,,,18-104,Ft. McDowell,-22,Back Bar Diffusers,,Build Back Bar Diffusers,Metal,,12/11/2019,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Talk to Adam about who is doing the install and have them join the call on Thursday,PM,,10/30/2019,Checked,,Looks like its gonna be me. Wonderful.
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Get polycarbonate from Souers,Vendor,,12/13/2019,,,I don't think this is actually in process? Need to verify
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Paint hardware,Paint,,,,,
,,,18-104,Ft. McDowell,-2,All,,Get schedule back on track,PM,,,Checked,,
,,,19-248,Kyle Mock,-5,Bark Wrap,,Paint (10) bark wraps,Paint,,,,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Get Kiera the paint callout,PM,,12/3/2019,Checked,,
,,,18-104,Ft. McDowell,-18,Entry Panel,,Ship Entry Panel,Shipping,,,,,Truck # 1
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #3 - Ship,Shipping,,,,,
,,,19-248,Kyle Mock,-3,Cable Pedestals,,Shop drawings,Design,,,,,
,,,19-220,Alder Bar Top,-3,Alder Bar Top,,Schedule meeting to go over finish issues,PM,,,Checked,,10/28/19 - 3:30p
,,,00-000,Overhead,0,,,Job Costs,PM,,,Checked,,
,,,00-000,Overhead,,,,Job Costs,PM,,10/31/2019,Checked,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Weld brake-formed pans to vertical square tube,Metal,,,,,
,,,18-104,Ft. McDowell,-3,Light Box Wall,,Paint Angle Frames,Paint,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #2 - Build metal frame + horizontal rings,Metal,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Package Buffet Fins,Shipping,,,,,
,,,18-222,Desert Diamond,-3,Wall Panels,,Talk to printer if needed,PM,,12/2/2019,Checked,,
,,,19-248,Kyle Mock,-5,Bark Wrap,,Shop drawings,Design,,,,,
,,,19-248,Kyle Mock,-3,Cable Pedestals,,Get additional information about what they'd like for the opening,PM,,,,,
,,,18-104,Ft. McDowell,0,All,,Touch base with Matt about the multiple missed weeklys,PM,,,Checked,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Paint PVC,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Powdercoat smoke panels,Vendor,,12/2/2019,Checked,,Adam is aware will also be welding the tube on there.
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Fabricate groups for overhead,Fab,,,,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Issue Production Drawings,PM,,,Checked,,
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Build angle frames,Metal,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Drill hanging holes in smoke panels before delivery to Mukilteo Powder,PM,,10/31/2019,Checked,,Adam is aware will also be welding the tube on there.
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Assemble MDF feathers,Fab,,,,,
